"BandNumber","FieldCode","Station","Malaria","IDBirdBandingData","SpeciesName","CP","BP","Fat","BodyMolt","FFMolt","FFWear","RightWing","LeftWing","CycleCode","Age","Sex","Weight","CaptureTime"
245109717,"SMD2014120413","HOME","P",5745,"NORTHERN CARDINAL","N","N","T","M","S","M",92,NA,"DPB","A","M",45,06:55:00
245109717,"SMD2014120413","HOME","P",6618,"NORTHERN CARDINAL","N","N","N","N","N","S",95,NA,"FAS","A","M",43.2,07:21:00
245109724,"SMD2016012129","HOME","P",5623,"NORTHERN CARDINAL","N","W","L","N","N","S",89,NA,"FAS","A","F",44.2,11:09:00
245109724,"SMD2016012129","HOME","P",8618,"NORTHERN CARDINAL","N","N","T","N","N","S",88,NA,"FAS","A","F",39.7,11:59:00
245109724,"SMD2016012129","HOME","P",5623,"NORTHERN CARDINAL","N","W","L","N","N","S",89,NA,"FAS","A","F",44.2,11:09:00
245109724,"SMD2016012129","HOME","P",8618,"NORTHERN CARDINAL","N","N","T","N","N","S",88,NA,"FAS","A","F",39.7,11:59:00
245109742,"SMD2014070213","HOME","N",5173,"NORTHERN CARDINAL","N","V","T","N","N","L",86,NA,"FAJ","A","F",42.6,07:50:00
245109752,"SMD2014040433","BAMB","P",5101,"NORTHERN CARDINAL","M","N","T","N","N","L",92,NA,"DCB","O","M",NA,08:18:00
245109757,"SMD2014080102","HOME","P",5728,"NORTHERN CARDINAL","N","W","N","N","N","M",89,NA,"FAS","A","F",40.2,07:00:00
245109757,"SMD2014080102","HOME","P",8287,"NORTHERN CARDINAL","N","N","N","N","N","S",89,NA,"FAS","A","F",NA,08:24:00
245109757,"SMD2014080102","HOME","P",12495,"NORTHERN CARDINAL","N","V","L","N","N","S",87,NA,"DCB","O","F",45,10:52:00
245109759,"SMD20140404115","HOME","P",5059,"NORTHERN CARDINAL","M","N","N","N","N","S",91,NA,"FAS","A","M",38.4,10:20:00
245109761,"SMD2014070228","HOME","P",5622,"NORTHERN CARDINAL","N","V","T","N","N","L",88,NA,"FAS","A","F",39.4,10:25:00
245109761,"SMD2014070228","HOME","P",8831,"NORTHERN CARDINAL","N","V","N","N","N","M",86,NA,"FAS","A","F",39.6,08:00:00
245109765,"SMD2016090613","HOME","N",9821,"NORTHERN CARDINAL","N","N","N","H","S","L",89.5,NA,"DPB","A","M",41.7,08:34:00
245109767,"SMD20140404118","HOME","P",5062,"NORTHERN CARDINAL","N","W","L","N","N","M",87,NA,"FAS","A","F",43.4,11:17:00
245109767,"SMD20140404118","HOME","P",5201,"NORTHERN CARDINAL","N","W","T","N","N","L",83,NA,"FAS","A","F",42.1,08:56:00
245109767,"SMD20140404118","HOME","P",5740,"NORTHERN CARDINAL","N","W","T","N","N","L",85,NA,"FAS","A","F",40.7,10:05:00
245109772,"SMD2014071811","HOME","P",5640,"NORTHERN CARDINAL","N","W","T","N","N","M",88,NA,"FAS","A","F",40.1,09:13:00
245109775,"SMD2015021429","HOME","P",5202,"NORTHERN CARDINAL","N","N","T","N","N","S",90,NA,"FAS","A","M",47.7,06:19:00
245109775,"SMD2015021429","HOME","P",6763,"NORTHERN CARDINAL","N","N","N","T","N","S",90,NA,"FAS","A","M",46.6,07:55:00
245109775,"SMD2015021429","HOME","P",5202,"NORTHERN CARDINAL","N","N","T","N","N","S",90,NA,"FAS","A","M",47.7,06:19:00
245109775,"SMD2015021429","HOME","P",6763,"NORTHERN CARDINAL","N","N","N","T","N","S",90,NA,"FAS","A","M",46.6,07:55:00
245109783,"SMD2014061059","HOME","P",5216,"NORTHERN CARDINAL","N","W","L","N","N","L",87,NA,"FAS","A","F",43.5,10:40:00
